Country,Region,Expenditures ,Total Libraries,Total Librarians,Total Volumes,Total Users
Luxembourg,Europe,"$8,169,216.00 ",94,77,3115658,159368
Macao,Asia,,4,8,1137778,38854
Macedonia,Europe,"$327,207.00 ",1099,469,11211151,3135267
Madagascar,Africa,"$14,841.00 ",375,1,1542720,77264
Malawi,Africa,"$944,346.00 ",97,85,2575036,72500
Malaysia,Asia,"$87,578,838.00 ",10176,542,15485584,5714291
Maldives,Asia,"$8,161.00 ",312,7,146743,116000
Mali,Africa,"$2,112.00 ",506,16,388600,1526000
Malta,Europe,"$1,074,407.00 ",139,13,1983710,242648
Marshall Islands,Oceania,,12,,95800,
Martinique,Latin America,,6,,440091,3447
Mauritania,Africa,,38,,272500,
Mauritius,Africa,"$610,649.00 ",113,29,1275862,260449
Mexico,Latin America,"$181,744,087.00 ",13308,11879,75662394,57309733
Micronesia,Oceania,,24,,107800,
Moldova,Europe,"$1,228,728.00 ",2899,1714,30216100,153661
Monaco,Europe,"$339,872.00 ",13,14,552000,29600
Mongolia,Asia,,829,333,14586714,864300
Montenegro,Europe,,258,,1626172,
Montserrat,Latin America,,1,,15000,
Morocco,Africa,,735,207,3443428,261344
Mozambique,Africa,,141,,378000,
Myanmar,Asia,"$9,564.00 ",3745,,15314120,11793
Namibia,Africa,"$1,627,755.00 ",1097,115,886920,191568
Nepal,Asia,"$200,819.00 ",3340,127,974183,92058
Netherlands,Europe,"$1,102,169,201.00 ",702,5361,85793807,5591545
New Caledonia,Oceania,"$8,571,877.00 ",12,1,505580,700
New Zealand,Oceania,"$243,268,295.00 ",2992,2066,27325387,1723375
Nicaragua,Latin America,"$1,772,571.00 ",456,184,1256331,99948
Niger,Africa,,13,,167800,1392
Nigeria,Africa,"$6,675,461.00 ",269,1220,11082019,330936
Norway,Europe,"$419,628,603.00 ",4009,3488,44638198,2074580
Oman,Middle East,"$25,103,260.00 ",1051,66,717474,385085
Pakistan,Asia,"$1,350,651.00 ",9106,185,7640141,346700
Palau,Asia,,25,,64060,
Palestine,Middle East,,1086,,995100,
Panama,Latin America,,739,,1037400,355023
Papua New Guinea,Oceania,"$1,849,154.00 ",185,1,2109090,53595
Paraguay,Latin America,"$718,690.00 ",285,137,716469,504374
Peru,Latin America,"$3,110,402.00 ",2644,88,11625034,78263
Philippines,Asia,"$639,891.00 ",1635,69,8588851,17016049
Poland,Europe,"$278,480,321.00 ",24945,44651,286558256,20564277
Portugal,Europe,"$77,783,835.00 ",1413,2722,22582772,3206805
Puerto Rico,Latin America,"$38,348,570.00 ",843,437,65403682,957414
Qatar,Middle East,"$2,109,341.00 ",171,27,1256400,83043
Réunion,Africa,"$642,049.00 ",10,4,457600,3000
Romania,Europe,"$104,465,496.00 ",11787,15691,123227682,5695820
Russia,Europe,"$53,754,058.00 ",113867,144123,1986072091,60104774
Rwanda,Africa,"$183,434.00 ",28,1,398278,1841
Saint Kitts and Nevis,Latin America,,5,,2950,
Saint Lucia,Latin America,,37,,204520,
Saint Vincent and the Grenadines,Latin America,"$10,370.00 ",26,6,334787,53500
Samoa,Oceania,,41,,177500,
San Marino,Europe,"$10,750.00 ",27,2,371477,1616
São Tomé and Príncipe,Africa,,5,,48000,
Saudi Arabia,Middle East,"$6,191,937.00 ",5317,268,15680643,485620
Senegal,Africa,"$331,755.00 ",66,98,989576,11500
Serbia,Europe,,2095,2745,14756191,799517
Seychelles,Africa,"$295,134.00 ",45,8,290155,60642
Sierra Leone,Africa,,47,14,866370,31500
Singapore,Asia,"$70,612,183.00 ",429,351,22141600,7053742
Slovakia,Europe,"$16,791,518.00 ",7533,2381,48915847,1356808
Slovenia,Europe,"$66,674,576.00 ",1182,1864,30070000,981446
Solomon Islands,Oceania,"$84,400.00 ",33,16,165500,4499
Somalia,Africa,,4,,118000,1162
South Africa,Africa,"$484,705,816.00 ",11406,2341,52756234,
Spain,Europe,"$704,295,300.00 ",26604,7725,164390537,18753442
Sri Lanka,Asia,"$1,043,907.00 ",7241,193,6921395,4127206
Sudan,Africa,,4851,,2579200,20000
Suriname,Latin America,,206,24,1975746,40170
Swaziland,Africa,"$149,914.00 ",45,61,857029,46000
Sweden,Europe,"$435,817,849.00 ",6414,5919,105871504,4508392
